origin_lat,origin_lng,dest_lat,dest_lng
32.04389,118.79257,32.02825,118.814701
31.895461,118.9061,31.897606,118.914024
32.103486,118.771141,32.083164,118.739953
32.05528,118.78396,32.072,118.75716
32.041098,118.795021,32.054323,118.75659
31.897802,118.914076,31.879467,118.982089
31.897797,118.914014,31.895333,118.905807
32.03881,118.825437,32.049118,118.835407
32.117018,118.820312,32.106009,118.782275
31.930599,118.918054,31.974944,118.874813
32.05074,118.833103,32.025976,118.802706
31.91647,118.895005,31.885238,118.892382
31.914841,118.89444,31.931038,118.893318
32.087333,118.738131,31.922487,118.906606
31.8885,118.89891,31.89723707368421,118.91406529473676
32.058715,118.751828,32.060209,118.795847
32.02751,118.80685,32.061867,118.784347
32.062195,118.780491,32.122171,118.833097
32.025675,118.816136,32.038094,118.810577
32.059159,118.795382,32.042693,118.79711
31.912447,118.901037,31.914501,118.914725
31.968245,118.877333,31.879674,118.892342
32.081905,118.757607,32.049085,118.796499
32.058502,118.795037,31.980538,118.776342
32.093388,118.766501,32.052981,118.798582
32.13949,118.73898,32.14015,118.71122
32.20207,118.74071,32.230539,118.7608
32.134157,118.722509,32.124544,118.737069
32.245376,118.753899,32.243111,118.780771
32.23714,118.754071,32.24339,118.746402
32.138191,118.702598,32.170377,118.718645
32.235061,118.753828,32.134011,118.729728
32.321534,118.931242,32.229644,118.759222
32.2416,118.76547,32.24471,118.75327
31.980255,118.731994,32.094696,118.819708
32.150735,118.704253,32.1424,118.727473
32.129724,118.877091,32.10617,118.886401
32.087314,118.809817,32.131784,118.891127
31.971005,118.795716,31.988446,118.743519
32.323669,118.812625,31.967179,118.798961
31.965476,118.762452,31.986206,118.76777
31.98261,118.76459,31.96293,118.88907
32.0621,118.77148,32.02723,118.73913
31.97815,118.88273,31.947931,118.882703
32.00949,118.75129,31.99644,118.7439
31.969417,118.838775,32.038017,118.784018
31.944636,118.753044,31.984806,118.836279
31.979807,118.876797,31.774697,118.858357
32.0139,118.7443,31.97041,118.76517
32.09098,118.777143,32.021798,118.792069
32.025649,118.737609,31.99817,118.744036
31.915476,118.871107,31.945158,118.873894
32.034321,118.785978,32.04321,118.72856
32.072568,118.755475,32.049666,118.769847
31.941766,118.874099,31.937941,118.741083
31.93366,118.848742,31.918798,118.876844
31.76689,118.86385,32.085965,118.796673
32.020955,118.780821,32.064945,118.755802
32.05964,118.7748,32.06656,118.76895
32.015029,118.748047,31.970232,118.751964
32.015244,118.800493,31.936182,118.84679
32.028945,118.839674,31.972557,118.695318
32.04628,118.78025,31.994994,118.728076
31.934860411621877,118.91807084493792,31.931901,118.820796
31.92837022569444,118.65890082465282,31.947759,118.665935
31.93347,118.65249,32.059135,118.642015
32.04337,118.78107,32.0292,118.78786
31.92847,118.64122,31.94426,118.66518
32.06160814483854,118.79336153892396,32.092523,118.78006
31.944293,118.665139,31.93033,118.63456
32.093615,118.862042,32.089576,118.887581
31.904613,118.662111,31.935161,118.661801
32.10899026044364,118.75623976679287,32.08096,118.74488
32.08514,118.88896,32.0907,118.91156
31.9445,118.66492,31.919077,118.665846
32.0737,118.74044,32.09067,118.7865
31.92611,118.66419,31.90879,118.66202
32.09726,118.9053,32.109211,118.755548
31.971167,118.794664,31.947759,118.665935
31.933506,118.652318,31.968751,118.798039
32.08331,118.77772,32.093685,118.865124
31.920007,118.661258,31.935364,118.643394
32.0465,118.73806,32.057731,118.784361
32.025251,118.782876,32.049451,118.791797
32.0637,118.65416,32.040557,118.723093
32.041934,118.779801,32.049109,118.783922
31.94415,118.66549,31.938262,118.644788
32.05192530947643,118.73093580737928,32.098534,118.885736
32.08622,118.74106,32.040135,118.776431
32.116372,118.719395,31.945211,118.75122
31.99263,118.7773,31.970325,118.740159
31.94291,118.74201,31.96234,118.735266
32.030661,118.706068,31.967084,118.799208
31.981019,118.793291,32.041406,118.78117
31.993697,118.793077,32.031561,118.703249
31.96682,118.71868,31.9889,118.71298
32.037532,118.785853,32.038503,118.749052
31.96588,118.802163,32.009767,118.789088
32.037864,118.753504,31.954214,118.732552
32.019138,118.797476,31.967084,118.799208
31.98441,118.71995,31.9942,118.7751
31.93529,118.81802,31.916357,118.790903
31.971862,118.761644,31.945501,118.815953
31.98621,118.7148,31.996381538995067,118.7210448699069
31.993548,118.719381,31.970797,118.714302
31.979742,118.712336,31.971052,118.792991
32.0414547826245,118.77997865727308,32.040186,118.797716
32.12336,118.84218,32.10316,118.80976
32.126462,118.894496,32.141766,118.885644
32.06734,118.77484,31.989266,118.71965
32.12989,118.83526,32.15907,118.88823
31.992849,118.709519,32.008876,118.687886
32.09976,118.81306,32.071164,118.769564
31.990417,118.709657,31.967084,118.799208
31.94711,118.81692,32.018354,118.749184
32.071323,118.777144,32.122957,118.891378
31.966782,118.801586,32.150761,119.008991
32.11559,118.85655,32.072564,118.776841
32.11843,118.87097,32.13502,118.87623
32.125465,118.887301,32.138294,118.899094
32.14803,118.99601,32.117385,118.986278
32.10524,118.95659,32.06737,118.9409
32.14503580729167,118.88474527994788,32.15611,118.88443
32.09241,118.91759,32.13145,118.88954
32.130082,118.955796,32.123137,118.983755
31.893874,118.823174,31.944337,118.809768
32.09163,118.917435,32.108986,118.915456
32.116542,118.922776,32.09986,118.81326
32.126984,118.827656,32.09515,118.914771
32.12268,118.876985,32.106199,118.886472
32.08992335834921,118.91507512820512,32.12432,118.932084
32.07793,118.92981,31.881906,118.811323
32.104650762738274,118.91437878429208,32.090946,118.916153
32.119404,118.878627,32.138368,118.878607
32.115267,118.875475,32.135944,118.883888
